month,year,admin_ascii,total_cases,confirmed_cases
2,2016,risaralda,489,317
2,2016,san andres,7,1
2,2016,santander,1087,395
2,2016,sucre,74,24
2,2016,tolima,851,228
2,2016,valle,5217,2154
2,2016,vaupes,2,1
2,2016,vichada,13,8
2,2017,amazonas,5,1
2,2017,antioquia,320,97
2,2017,arauca,15,1
2,2017,atlantico,16,9
2,2017,bogota,,
2,2017,bolivar,24,4
2,2017,boyaca,32,18
2,2017,caldas,19,18
2,2017,caqueta,28,10
2,2017,casanare,29,3
2,2017,cauca,7,4
2,2017,cesar,21,1
2,2017,choco,11,5
2,2017,cordoba,29,22
2,2017,cundinamarca,78,15
2,2017,exterior,4,1
2,2017,guainia,2,1
2,2017,guajira,12,11
2,2017,guaviare,10,2
2,2017,huila,94,23
2,2017,magdalena,21,5
2,2017,meta,79,11
2,2017,nari�o,11,8
2,2017,norte santander,88,24
2,2017,procedencia desconocida,,
2,2017,putumayo,29,1
2,2017,quindio,47,4
2,2017,risaralda,24,12
2,2017,san andres,1,0
2,2017,santander,124,34
2,2017,sucre,29,0
2,2017,tolima,239,19
2,2017,valle,512,121
2,2017,vaupes,,
2,2017,vichada,4,2
3,2007,amazonas,1,1
3,2007,antioquia,11,6
3,2007,arauca,86,31
3,2007,atlantico,100,79
3,2007,bogota,1,1
3,2007,bolivar,22,10
3,2007,boyaca,13,6
3,2007,caldas,112,75
3,2007,caqueta,44,21
3,2007,casanare,177,49
3,2007,cauca,39,13
3,2007,cesar,101,47
3,2007,choco,1,1
3,2007,cordoba,37,15
3,2007,cundinamarca,14,10
3,2007,exterior,4,0
3,2007,guainia,1,0
3,2007,guajira,34,7
3,2007,guaviare,31,30
3,2007,huila,250,56
3,2007,magdalena,21,17
3,2007,meta,183,75
3,2007,nari�o,8,6
3,2007,norte santander,296,117
3,2007,procedencia desconocida,18,14
3,2007,putumayo,46,15
3,2007,quindio,188,41
3,2007,risaralda,58,28
3,2007,san andres,,
3,2007,santander,468,163
3,2007,sucre,39,17
3,2007,tolima,123,38
3,2007,valle,53,11
3,2007,vaupes,,
3,2007,vichada,5,1
3,2008,amazonas,2,0
3,2008,antioquia,243,62
3,2008,arauca,75,14
3,2008,atlantico,462,404
3,2008,bogota,1,0
3,2008,bolivar,138,83
3,2008,boyaca,9,5
3,2008,caldas,6,4
3,2008,caqueta,35,16
3,2008,casanare,143,29
3,2008,cauca,36,11
3,2008,cesar,97,29
3,2008,choco,5,2
3,2008,cordoba,60,30
3,2008,cundinamarca,84,46
3,2008,exterior,1,0
3,2008,guainia,44,8
3,2008,guajira,51,25
3,2008,guaviare,18,18
3,2008,huila,202,68
3,2008,magdalena,47,36
3,2008,meta,161,59
3,2008,nari�o,8,6
3,2008,norte santander,347,87
3,2008,procedencia desconocida,17,8
3,2008,putumayo,54,17
3,2008,quindio,101,24
3,2008,risaralda,24,9
3,2008,san andres,5,2
3,2008,santander,448,117
3,2008,sucre,104,29
3,2008,tolima,148,63
3,2008,valle,193,86
3,2008,vaupes,,
3,2008,vichada,17,1
3,2009,amazonas,,
3,2009,antioquia,37,28
3,2009,arauca,32,14
3,2009,atlantico,178,174
3,2009,bogota,,
3,2009,bolivar,27,17
3,2009,boyaca,13,6
3,2009,caldas,16,7
3,2009,caqueta,26,15
3,2009,casanare,661,299
3,2009,cauca,53,14
3,2009,cesar,13,5
3,2009,choco,5,4
3,2009,cordoba,24,16
3,2009,cundinamarca,51,17
3,2009,exterior,3,3
3,2009,guainia,,
3,2009,guajira,87,56
3,2009,guaviare,22,22
3,2009,huila,210,124
3,2009,magdalena,71,61
3,2009,meta,285,53
3,2009,nari�o,3,3
3,2009,norte santander,228,110
3,2009,procedencia desconocida,1,0
3,2009,putumayo,47,22
3,2009,quindio,19,5
3,2009,risaralda,10,5
3,2009,san andres,2,0
3,2009,santander,417,145
3,2009,sucre,68,40
3,2009,tolima,207,59
3,2009,valle,387,212
3,2009,vaupes,,
3,2009,vichada,2,0
3,2010,amazonas,1,1
3,2010,antioquia,1514,544
3,2010,arauca,267,55
3,2010,atlantico,254,65
3,2010,bogota,,
3,2010,bolivar,105,17
3,2010,boyaca,203,46
3,2010,caldas,370,92
3,2010,caqueta,123,25
3,2010,casanare,291,59
3,2010,cauca,285,87
3,2010,cesar,228,47
3,2010,choco,96,6
3,2010,cordoba,48,5
3,2010,cundinamarca,1117,244
3,2010,exterior,27,15
3,2010,guainia,73,11
3,2010,guajira,72,24
3,2010,guaviare,138,7
3,2010,huila,883,640
3,2010,magdalena,160,16
3,2010,meta,828,106
3,2010,nari�o,37,26
3,2010,norte santander,858,340
3,2010,procedencia desconocida,20,2
3,2010,putumayo,547,120
3,2010,quindio,2823,274
3,2010,risaralda,2944,53
3,2010,san andres,3,0
3,2010,santander,3083,368
3,2010,sucre,123,12
3,2010,tolima,2376,508
3,2010,valle,3609,1006
3,2010,vaupes,35,29
3,2010,vichada,117,35
3,2011,amazonas,35,14
3,2011,antioquia,166,53
3,2011,arauca,29,12
3,2011,atlantico,61,45
3,2011,bogota,,
3,2011,bolivar,38,24
3,2011,boyaca,11,9
3,2011,caldas,18,18
3,2011,caqueta,15,10
3,2011,casanare,35,9
3,2011,cauca,43,14
3,2011,cesar,55,15
3,2011,choco,29,28
3,2011,cordoba,49,25
3,2011,cundinamarca,71,29
3,2011,exterior,6,4
3,2011,guainia,3,3
3,2011,guajira,19,15
3,2011,guaviare,26,20
3,2011,huila,127,61
3,2011,magdalena,26,21
3,2011,meta,174,56
3,2011,nari�o,17,16
3,2011,norte santander,180,61
3,2011,procedencia desconocida,21,16
3,2011,putumayo,48,21
3,2011,quindio,67,7
3,2011,risaralda,39,9
3,2011,san andres,2,1
3,2011,santander,178,35
3,2011,sucre,85,45
3,2011,tolima,177,38
3,2011,valle,162,72
3,2011,vaupes,,
3,2011,vichada,44,33
3,2012,amazonas,10,4
3,2012,antioquia,118,68
3,2012,arauca,21,10
3,2012,atlantico,72,48
3,2012,bogota,4,1
3,2012,bolivar,34,25
3,2012,boyaca,26,20
3,2012,caldas,7,5
3,2012,caqueta,193,70
3,2012,casanare,150,82
3,2012,cauca,17,11
3,2012,cesar,58,21
3,2012,choco,18,2
3,2012,cordoba,66,44
3,2012,cundinamarca,100,33
3,2012,exterior,4,2
3,2012,guainia,9,2
3,2012,guajira,21,11
3,2012,guaviare,9,4
3,2012,huila,621,395
3,2012,magdalena,14,9
3,2012,meta,726,148
3,2012,nari�o,9,4
3,2012,norte santander,178,54
3,2012,procedencia desconocida,,
3,2012,putumayo,66,17
3,2012,quindio,33,3
3,2012,risaralda,28,11
3,2012,san andres,,
3,2012,santander,163,55
3,2012,sucre,72,29
3,2012,tolima,223,66
3,2012,valle,280,142
3,2012,vaupes,,
3,2012,vichada,7,1
3,2013,amazonas,21,8
3,2013,antioquia,436,254
3,2013,arauca,80,44
3,2013,atlantico,495,350
3,2013,bogota,9,7
3,2013,bolivar,316,251
3,2013,boyaca,39,33
3,2013,caldas,65,60
3,2013,caqueta,51,20
3,2013,casanare,218,79
3,2013,cauca,38,17
3,2013,cesar,326,104
3,2013,choco,3,2
3,2013,cordoba,132,102
3,2013,cundinamarca,284,142
3,2013,exterior,15,11
3,2013,guainia,3,3
3,2013,guajira,137,130
3,2013,guaviare,23,22
3,2013,huila,362,174
3,2013,magdalena,209,144
3,2013,meta,638,201
3,2013,nari�o,41,27
3,2013,norte santander,510,236
3,2013,procedencia desconocida,1,1
3,2013,putumayo,119,43
3,2013,quindio,156,49
3,2013,risaralda,22,15
3,2013,san andres,3,3
3,2013,santander,1070,365
3,2013,sucre,241,126
3,2013,tolima,931,251
3,2013,valle,1537,748
3,2013,vaupes,1,0
3,2013,vichada,18,14
3,2014,amazonas,48,25
3,2014,antioquia,388,207
3,2014,arauca,85,51
3,2014,atlantico,334,219
3,2014,bogota,9,6
3,2014,bolivar,162,118
3,2014,boyaca,76,65
3,2014,caldas,75,69
3,2014,caqueta,95,62
3,2014,casanare,166,62
3,2014,cauca,43,28
3,2014,cesar,187,71
3,2014,choco,29,21
3,2014,cordoba,302,241
3,2014,cundinamarca,361,209
3,2014,exterior,14,9
3,2014,guainia,24,22
3,2014,guajira,132,94
